name,cuisine,latitude,longitude,city,rating,image,categories
Masala Chowk,Street Food,26.9102854,75.820617,Jaipur,4.3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpcVCIqV5pOxfVqEGpqpAhQbFVcnoIr6kV0zdsQkzmQE9Lh2qOdo5EgOGQvJcqsGmxL3tTCqi0Tl9p3Cx6pXxpq-wG4Vz3Gcrh2b0XMrvMU2LjhbAIXPQ--oQSo2BrpydNODs4CW4N7veiTSh_ADWE0olsyZrX5QFhXDynsGgwjhbfalTe-XcAHx5j_ab_jqKToahBbwzsQCt-ZAch8YSgMhImacrn8MZqorkDuRcjsOAABCUpo79gpLPUX8bB3rpPeqNsqC__UBCIaV6FoFZDEtw6b_rkwh0yHIeVQQNs7BhUOdJpTi6cVCu4bWSIFRpMrPQG6DzMQO9rXP076sgMYmvC3LB7gYiQ6uXpG5YE_5ClMSFQEo0fzlFaiePUPFQSb9XH9KAtJYiZ13wffNajUDWSAphKLQNPaEajUDacHmhlbnDB9ohGLVdQ2faEw0UMOCOvbt4akEFFsAZWubCQ_W6AHD2kUQNAkfdV0PaGjLr4zZ77FTxiCfu_PhsWyl_yoOsfzwAsC0Qs9oABJykFLMGu2KfrWbu8sl1yebcmAT4mPpMsb5btRqrYPRjgWSRN4kVGnD&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Jawahar Circle Street Food Bazar,Street Food,26.838437,75.799571,Jaipur,4.3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeEnZFSdwhrKcqLzpFbai-rAKdvcGaZL-BNdQhN7P0sUw5gMEk_9k2UWT4vuP_GlIIfxnmrj5qiASkSYROgeulr2IhiRJdrtl_SdpMxmq5N00gAs05RKa1kyoyueM-TDP7onnMe-KKpbsrcyMNuB_S_zfVI5kKwZeCaB2Tg8PiX9phf7M7KRTT6AWdgXQvZgKOQCVjwfFXHbQGb49gZ7emfssK4c-rF_Xc4ZLhBbYjwQv5V4H4jzj7Gd2ESrKM8msMKTT7DBFES-FwOrzkFIjtQjXB8waurn4HJ_-OW0Vgbmz0xbSnqwuYU7LOktfKhm1aRH7opfdAy79f6S_zZ67Fhln8Cwyoxy-z6HcfnYfRyY49n6eAQVszSQGPYmWqG68KkNC52pXKeIkn1GPhjw_I6WRNxlL5E_OlujE2aGbZcv0B95o_GfsgcBD4P4yQm-CR5ARnC18yidBURHrSd_HVjXp0zAixIP48YsTOoMGBmxvS4IV9b-SfRgWyB4wWl0aTbxgJT3Nkfqh5qWuARrqyFJPrgr3k8kKQbYUQnhH8N8rESC5_0ClYYhCJrm4-F0mlbggA8NKoD2w&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Kalkatta Chat Bhandar,Street Food,26.9025087,75.8010056,Jaipur,4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpc7__wfKAB4ZdKAI_Ked3kA8wAlqaePDC5gGUV-s2WB6IrC8cixv9-CGVmt9T4Xza36lOA-mm9vMDMgM626kYvM_XQDG_FfjzIzr9H6eVFMWZv3bf8gRAcOE0je31VkU-2NskxarRCg9I_AgWfnqU-QVkQcMyms47LbaPlWszSmPDMVtpwkgx84MoI-uY70V7EgX8CNZ5-fDPbFT6Sn6h6qyh7k_uXTDTIQuQPBcEGa1RAtamPf5yFAMQVclD6eOl1ydzS05MmAnbpAOUKAIQoS2ZV-_uIYupGNB8v252oQTYEQSeM3L70RscTHUw65zaxY-_rRQSSUMWbGvdUUjSYJnYqm8JM98qkubZkqm_u35Kw5bDMtcTdmPmNpN2b7G6j1ah91kOHJZtAAAki0HiBn2quiiuY_-Z0wFdnuSNB_6hLBesVKhtsktzx_FeCOpun_xY6NREjz1wFNEzOat-zpNgskf1EX5B5xUzct7V-2o5pWSzu7g63hRj3_zBY-XhbfCRdelqgY17PFWES0LTtmHQJfLhAQS4A1mFdAGsPSL7Uxf0bMCeEbJio3KAKZH3vluj3F&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Street Food,Street Food,26.889585,75.7936778,Jaipur,4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeUgCjOv-KeWDI5eGc2ul-NRweoI9ZRlF_KuOC58WYIkW4DFOQdkjFdK3kblB0B19K5dsi0tqUxQuAK6NXUzuJ7uJAkLqSkswBGBou9Vi_OhwGgZodK57-515DGV9M5hATpQ1pQh8doH7t13fSGyRKGh3iutnbdW-RKQGQ9glvsr3-089nbfl06ly0RkbDjtcEfynCmP-sI4W_FofOFRNdHPuZmYq8z3yfJcJkSUA_DB2IVeIX2zA22Cgoc_izKKbMEgQW50habMK3TsL5H63ltn1K8QPDqQkHiSJPPJzNKPJvrHhRbg8YYwZYH4QhiUZd9NJvcNIQ98kD95VSBo5l4gbSHPayrjCTBsEoqX4y9vH4fyeWVUGmkUyIdissJCyiq4t5BEzmFtSNyyaFxnmcpKHKqnD9N5V3X_52ulkIy-LpQupkhq__1hqjcKDG3y3ELH-o4vO7e9MGOUx0P4rQ7NqjSzWSeUA-2Yds1ExaBGVWF2vQFb6pO6wLEvfqxQybuv8KJ97K3YpV3OUsaiufN2HlgP36XsZ-iO5BlGZqArtqQ_-20_iqXVuAN4b5ecaz8KpeM&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Jaipur Truckista- जैपुर Truckista,Street Food,26.9055659,75.803012,Jaipur,4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpd--E0fgQGncZy-5veylv1enDQrYYfDqYwCf46WoLz3wRKpP4TGtlspzfJbyUBtyocvuCQSPgPOBnSvnmjgdPezYh-mcOtqbeifwM92bSjyFaqcIhhq2TGjpW59zJAHC0Bn_zBf1SxgOD78vpwCjQJ1sqeXSWq3jZzjQOALv1WRxLVjp957vlbsPOwDxnCPtHVev1Xh0CRnns0E7LIs703Jk_JcoC9M4y-SU58HJmfDbF7uKHN_IhmdLSyplRqrzH1kaCDommNGvD90Dpz1r1WMw3uerpip5NuMMGBd0UPLjNssn8o&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Rawat Misthan Bhandar,Street Food,26.9212614,75.7967221,Jaipur,3.9,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdL-TgG_UNa2xCCrOjBkYk4wmWTc6rbcQ8N_KspYWzjT2v_dGcDkuXsNgLkkqOOqjQwLar_7K2co7qYETHiU-OPbSIo-q3RaAV8ETm1MVaPTD5eFAvlC8aFca4idHDt-tX64zxsn4595vlH54TcL7M8719TcXCz7Bs9ZrVqJH1FVVVKkao6EYnP6YOxdPVSdpum3OdphjHvC3FJ5da1_-PDuxZJo5d14mNRkqJoumTZn7WjPtWL1-OTOsinsLgR4Q6LyXJ5KIlKtG3jdb0TdulCxGRSJ0DylZ5B94lujx5c8zS_VZ58qVz3GIDKQ28ZkLULtnOi9PM2YTcusdgtXT6xMuu0P1qGWQ4m-WjfTZlxMRWfnUyKifCiq9WTy5kDWg9LPeulBmlx-8l4FOx-uutmiXbF2yr4xh0-P7TeyXP_-tld3v6YxONXU-AjUhSpoKGPXoJC7p7HjBS5yTdW5scyAG2_kWvI9FAWNUWqys2y2lbGVUSZizx2dVlT_7D7JvCZ5dSEAsMfS0FiNON46ig2ikPf-8Mw4sx2jivVozJJ8n69frhNxdja-h_H_v9CzDNWE6gd&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Laxmi Misthan Bhandar,Street Food,26.9196187,75.8256378,Jaipur,3.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeE4IKXBkgCjhIeFgbgD5EJVvuY74s6o9lGT2tcva-hxz9nylfq0uicUAHLLq_VSEByoqf7rqq5mI1T65MpZmpZAffkNShuwxR_f-jWVc2rJ_Nj1R3ep7IOcT0OPRashUY_Sk270Tb6IfIaG_ICbl-YqOM7k3Q1HhDnfTXNCgvv2orFuy9l3MCrsQG9wMe1VrecGMA7uGF8pBI9c0An-j9XNX3dvWpypCzaOJCiQysXX3r4IJWfIZ-KlpdZtGNwkViPnD3wNuOUKf8DZazERgfsztM7QFBbcwihk00SPeSC7P4WD-DDOHzKIekBY2y33u5iU99BUMVsNnGRpkbCPeQdsVSCdlzBnfOXC9_LZ7seBJw37RREmwnW6YHU3O3Xx1R3k-sGDJNTL8muTQbHHxAauwGsV6QRIsJHN6O9jYKOLmiyj4rjOfdY1vLdOCXHc-8mIOKjYwpFwCoM2SOYqUPhz87i7SRCus4cxYzdL0zAAbDZT6Njin7Z1TiuxD9u81_W0G9vkGyJZuGGnGw2cG8Jlde2VkBnuCqxczMxISotKvvyIf_mn1SuCs2IImOaQynfFHwo5zLlTQ&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
N.S. STREET FOOD JUNCTION,Street Food,26.9169047,75.8204586,Jaipur,4.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdldRlC6tuOsCy7BvqdQg_zJFhhSAjkdBv8LOQYJLi1JNhByskLGJN-o-uPNDQmH_BOCdxD5EHGyy1XOIpnDWqtqK1uTRYEfutnTgI8VKOQ4qxz_bS2hhhS8HG5fbd01N7LPDU5VKO_zU6z2kilMuy3i20prEkymD66myEVpnCijG6e2sKabYmihsjpub_hhaTdliGeFEtBQXay1FJ9Y8F1eMqdncrspYp86FQrLfYjNUaCLSF7cGkgeMr_xeSfb6HJqx-NURRNNmWSgDB0K8iwS-LAJRq9Qymuc1W5RzQKBjO4_-ggLto05NkaQQTCkr-23lcBbMzSuzRklyH32QfUeSTKPpuSbTvcSHd2L5iWExqxpSgVXJf4MqF8rwOuPF9sYKnEzL0Ko589pzHv1ZiBxLs3kz9J220eb5KvTZQoxOrYtuFCZwUiKZUjHeBPVHPjLAWpUY6zZkGMO1lKSnWystzNOlBD23TnftXIFJ6tGJsmnVFVf2duQ4S9EGQTrtQuqGc3pL9US19xC4aHVXRRYYGtidre0qw5dX0_d8pd4zLpXRnQvyCwrOo6CQb0iQ_ZH4LR&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Lassiwala ®️ Kishan lal Govind Narain Agarwal,Street Food,26.9164946,75.81110629999999,Jaipur,4.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpek9JlcTQMBkkbTQWfJ0W7F7p9-TQhPjtsQEqhJnH8Eh6edXkxoDsecvQAiZFXU3AChWZd1KQ2WBzIqD4wkimxos8VGkejnOUSWWbWEMEY_ArIQeLbLXhA33WIkfgDpHWVmjou3JriGGpkM0iuOQiGhxBCTenrUY_zi2GHDewbeMyjwBkx0iHMec9xCzb1-RXiBYSrv5gDAFAO1sUVlqR0rc1qkl5NcO2xOQzX1UoLyGIwW4yweOjZNsre6lK_GZHrpXCgZ6ycU4A6G4DTYrGgfVioX1phpuWZQ2Q8-mXDFC6IFG1Eljc1ABanjQ9xLPuyTMoQAGuM-EQxeCuB-6qwowzwK6ns-VeC4HKUHuolUNY1CRiZB057HoVrxs9_4qf0hNVAX-XVtJaRc958TMOI29C5BCICXhUj7uZUzTvOfSGaN9phwE_aroxWGL43eoiGQvPA9astbFcwyziBqMV_Nv8s7i2YRMiud3qzdWWUrlZGixH2KJrLJ8w2fz8mclsMNIVfDY7BHQJqxyZsV8L2I1dJ1Vsa7LODUbkYliiRjJHloX3UTrd0oWwlRolNU3Xr42e2h&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Samrat Restaurant,Street Food,26.9212271,75.8221751,Jaipur,4.2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdatRs6YKZsMx5Y2_EYG_w4pHvn5mZpQ7XfkVs2D7Au7sQJLSu6_itSU3iOtV1ibLR0J_giVj7NrqVVYm22ivsl-R9iT51O3VWxaWTEVoL94FMgXXxezQgPT0sQpKkkN3jKSAQ5oQWd5BsRJxh6nvQhcegZxSM-hssrTAZCB_UCmJX4yy79TXj-PLCXwleXECWg9HyTl6v5b1URRfspzq22TkUc_Fs3vOdn-6y_1Uj45R5Ci2T1LYwoOk_gI4JoRUQau3Svkwh6382D5N16SQiSulS_J4PtEuh9aIr0A5NryeaG2phDdqa0Pow2gt7aGIBZ5kSuIN7awB4NN6EA1QS5oaFijhdD4JTlooXNq9EFEHA0SjejTHhrJxlSbsdC8V8jGnveHMq19jGisN-2Ku4qx4J8eWAJJTsxZRVaJD-9JuFzlpjcVZ_Wl7rsem8YiOvLKJuhA_L1I3-cfqL0swQSApjCWpM4dg4yv9nsslBBRh7cTBDS9ySTrd5w-fLoStu_RmmWqo48urHp6wJtmNM-QQbN5_PjHY--0JXBkTQaK_uAXDcxs_Lfa3ylTqUzS2Oc4Yes&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
